Name,GP,Min,Pts,FG,FGA,2Pt,2PtA,3Pt,3PtA,3P%,FTM,FTA,Off,Def,TOT,Asts,Stls,Blks,TOs,PFs,Team,Year
Felipe Reyes,19,19.2,11.3,3.5,6.9,3.1,5.9,0.4,1.0,42.1,3.8,4.6,2.4,3.7,6.1,1.2,0.6,0.2,1.5,2.6,Real Madrid,2016
Jonas Maciulis,18,19.0,5.3,1.7,4.6,1.1,2.1,0.7,2.5,26.7,1.2,1.4,0.4,1.4,1.9,0.9,0.6,0.0,0.6,1.8,Real Madrid,2016
Jaycee Carroll,20,18.0,8.2,3.0,7.0,1.7,3.1,1.4,3.9,34.6,0.9,0.9,0.4,1.3,1.7,1.1,0.3,0.1,0.8,1.6,Real Madrid,2016
Jeff Taylor,18,16.4,5.0,2.1,3.8,1.7,2.9,0.3,0.9,35.3,0.6,0.9,0.6,1.5,2.1,0.7,0.2,0.1,0.6,2.4,Real Madrid,2016
Trey Thompkins,15,15.2,5.9,2.1,5.5,1.2,2.8,0.9,2.7,35.0,0.7,0.7,0.6,2.4,3.0,1.1,0.1,0.3,0.6,2.1,Real Madrid,2016
Andres Nocioni,17,13.3,6.0,1.9,5.0,0.8,2.0,1.1,3.0,35.3,1.2,1.5,0.4,2.6,2.9,0.2,0.1,0.6,0.6,1.5,Real Madrid,2016
Augusto Cesar Lima,3,11.7,6.3,3.0,3.3,3.0,3.3,0.0,0.0,,0.3,1.7,0.7,1.7,2.3,0.0,0.0,0.0,0.7,2.0,Real Madrid,2016
Luka Doncic,10,11.6,3.2,0.9,2.3,0.5,0.9,0.4,1.4,28.6,1.0,1.1,0.3,1.9,2.2,2.2,0.1,0.4,1.1,0.7,Real Madrid,2016
Guillermo Hernangomez,12,10.8,4.3,2.0,3.0,2.0,3.0,0.0,0.0,,0.3,0.8,1.2,2.3,3.4,0.3,0.3,0.7,0.8,1.4,Real Madrid,2016
Maurice Ndour,6,8.0,1.7,0.8,1.5,0.8,1.2,0.0,0.3,0.0,0.0,0.0,0.5,0.7,1.2,0.2,0.5,0.2,0.5,1.3,Real Madrid,2016
